"","Gene","Event","No_of_Events","Sample"
"541","Bcas1","MX",1,"Mouse"
"542","Bcas1","SE",2,"Mouse"
"543","Bcas3","SE",2,"Mouse"
"544","Bckdha","MX",1,"Mouse"
"545","Bckdha","SE",2,"Mouse"
"546","Bckdk","SE",1,"Mouse"
"547","Bcl11b","MX",3,"Mouse"
"548","Bcl11b","SE",5,"Mouse"
"549","Bclaf3","SE",1,"Mouse"
"550","Bcor","SE",1,"Mouse"
"551","Bcs1l","SE",1,"Mouse"
"552","Bdh1","SE",1,"Mouse"
"553","Bean1","SE",2,"Mouse"
"554","Becn1","SE",1,"Mouse"
"555","Begain","SE",1,"Mouse"
"556","Bend6","SE",2,"Mouse"
"557","Bhlhb9","SE",1,"Mouse"
"558","Bicc1","SE",3,"Mouse"
"559","Bicd1","SE",2,"Mouse"
"560","Bicdl1","SE",1,"Mouse"
"561","Bicra","SE",1,"Mouse"
"562","Bin1","SE",9,"Mouse"
"563","Blmh","MX",1,"Mouse"
"564","Blmh","SE",2,"Mouse"
"565","Bloc1s5","SE",1,"Mouse"
"566","Blvra","SE",3,"Mouse"
"567","Blzf1","SE",2,"Mouse"
"568","Bmper","SE",1,"Mouse"
"569","Bnip2","SE",3,"Mouse"
"570","Bnip3l","SE",1,"Mouse"
"571","Bphl","SE",1,"Mouse"
"572","Bpnt1","SE",2,"Mouse"
"573","Bptf","SE",2,"Mouse"
"574","Brap","SE",4,"Mouse"
"575","Brat1","SE",1,"Mouse"
"576","Brd2","SE",3,"Mouse"
"577","Brd3","SE",2,"Mouse"
"578","Brd4","SE",4,"Mouse"
"579","Brd8","SE",2,"Mouse"
"580","Brinp2","SE",2,"Mouse"
"581","Brinp3","SE",1,"Mouse"
"582","Brk1","SE",1,"Mouse"
"583","Brpf3","SE",1,"Mouse"
"584","Brsk2","MX",3,"Mouse"
"585","Brsk2","SE",10,"Mouse"
"586","Brwd1","SE",1,"Mouse"
"587","Bsg","SE",1,"Mouse"
"588","Btbd1","SE",1,"Mouse"
"589","Btbd10","MX",1,"Mouse"
"590","Btbd10","SE",4,"Mouse"
"591","Btbd17","SE",3,"Mouse"
"592","Btbd19","SE",1,"Mouse"
"593","Btbd3","SE",1,"Mouse"
"594","Btbd6","SE",1,"Mouse"
"595","Btbd9","SE",2,"Mouse"
"596","Btd","SE",1,"Mouse"
"597","Btrc","MX",3,"Mouse"
"598","Btrc","SE",6,"Mouse"
"599","Bub3","SE",1,"Mouse"
"600","Bud23","SE",1,"Mouse"
"601","Bzw1","SE",1,"Mouse"
"602","Bzw2","SE",1,"Mouse"
"603","C030018K13Rik","SE",1,"Mouse"
"604","C1qtnf4","SE",1,"Mouse"
"605","C230057M02Rik","SE",1,"Mouse"
"606","C2cd2l","SE",2,"Mouse"
"607","C2cd5","MX",1,"Mouse"
"608","C2cd5","SE",5,"Mouse"
"609","C330007P06Rik","MX",1,"Mouse"
"610","C330007P06Rik","SE",1,"Mouse"
"611","C4b","SE",1,"Mouse"
"612","C87436","SE",2,"Mouse"
"613","C9orf72","SE",1,"Mouse"
"614","Caap1","SE",2,"Mouse"
"615","Cab39","SE",3,"Mouse"
"616","Cab39l","SE",2,"Mouse"
"617","Cables1","SE",2,"Mouse"
"618","Cables2","SE",4,"Mouse"
"619","Cacna1b","SE",1,"Mouse"
"620","Cacna1h","SE",1,"Mouse"
"621","Cacna2d1","SE",2,"Mouse"
"622","Cacnb1","MX",1,"Mouse"
"623","Cacnb2","MX",1,"Mouse"
"624","Cacnb3","SE",4,"Mouse"
"625","Cacng3","MX",2,"Mouse"
"626","Cacng3","SE",5,"Mouse"
"627","Cacng6","SE",1,"Mouse"
"628","Cacul1","SE",1,"Mouse"
"629","Cadm1","MX",1,"Mouse"
"630","Cadm1","SE",5,"Mouse"
"631","Cadm3","SE",1,"Mouse"
"632","Cadm4","SE",2,"Mouse"
"633","Cadps","SE",4,"Mouse"
"634","Cadps2","SE",2,"Mouse"
"635","Cald1","SE",1,"Mouse"
"636","Calm2","SE",1,"Mouse"
"637","Calm3","MX",1,"Mouse"
"638","Calm3","SE",3,"Mouse"
"639","Caln1","MX",1,"Mouse"
"640","Caln1","SE",4,"Mouse"
"641","Calr","SE",1,"Mouse"
"642","Calu","MX",1,"Mouse"
"643","Calu","SE",2,"Mouse"
"644","Caly","SE",4,"Mouse"
"645","Camk1g","SE",1,"Mouse"
"646","Camk2a","SE",2,"Mouse"
"647","Camk2b","SE",4,"Mouse"
"648","Camk2d","MX",2,"Mouse"
"649","Camk2d","SE",5,"Mouse"
