"","associated_gene","Human (Adult)_Detected_LogTPM_Isoseq","Human (Adult)","Human (Fetal)_Detected_LogTPM_Isoseq","Human (Fetal)"
"273","AC242376.2",0.776552085888602,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"274","AC244090.1",0.952643344944283,"Human (Adult)",NA,NA
"275","AC245060.4",0.952643344944283,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"276","AC245060.7",1.07758208155258,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"277","AC245100.4",0.776552085888602,"Human (Adult)",NA,NA
"278","AC245297.1",2.1382799219062,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"279","AC245297.3",NA,NA,1.18750777905373,"Human (Fetal)"
"280","ACAA1",2.1382799219062,"Human (Adult)",2.05280920515628,"Human (Fetal)"
"281","ACAA2",1.98067206854453,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"282","ACACA",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"283","ACACB",0.776552085888602,"Human (Adult)",NA,NA
"284","ACAD11",0.776552085888602,"Human (Adult)",1.7895677703817,"Human (Fetal)"
"285","ACAD8",1.70597101160289,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"286","ACAD9",1.96688378405889,"Human (Adult)",2.01141651999805,"Human (Fetal)"
"287","ACADM",1.42976459966395,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"288","ACADS",1.58946544253146,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"289","ACADSB",1.07758208155258,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"290","ACADVL",2.71105053713217,"Human (Adult)",2.89790724517053,"Human (Fetal)"
"291","ACAP2",1.37861207721656,"Human (Adult)",NA,NA
"292","ACAP3",2.19152543385942,"Human (Adult)",2.17278452223303,"Human (Fetal)"
"293","ACAT1",2.09877138062252,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"294","ACAT2",2.12873460399996,"Human (Adult)",1.94083544571235,"Human (Fetal)"
"295","ACBD3",1.42976459966395,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"296","ACBD4",NA,NA,1.31244651566203,"Human (Fetal)"
"297","ACBD5",1.79774138495854,"Human (Adult)",1.7895677703817,"Human (Fetal)"
"298","ACBD6",1.25367334060826,"Human (Adult)",1.94083544571235,"Human (Fetal)"
"299","ACBD7",1.17449209456064,"Human (Adult)",NA,NA
"300","ACD",1.85573333193623,"Human (Adult)",2.14175028849306,"Human (Fetal)"
"301","ACHE",2.15676332760021,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"302","ACIN1",1.67964207288055,"Human (Adult)",2.39162776170966,"Human (Fetal)"
"303","ACKR3",1.55470333627225,"Human (Adult)",1.7895677703817,"Human (Fetal)"
"304","ACLY",1.90688585438361,"Human (Adult)",2.57961824406505,"Human (Fetal)"
"305","ACO1",1.55470333627225,"Human (Adult)",2.01141651999805,"Human (Fetal)"
"306","ACO2",2.90849138109903,"Human (Adult)",2.49571635934484,"Human (Fetal)"
"307","ACOT1",NA,NA,1.48853777471772,"Human (Fetal)"
"308","ACOT11",0.776552085888602,"Human (Adult)",NA,NA
"309","ACOT13",1.37861207721656,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"310","ACOT2",2.0195901345749,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"311","ACOT4",1.25367334060826,"Human (Adult)",NA,NA
"312","ACOT7",2.67417917717904,"Human (Adult)",2.40935652867009,"Human (Fetal)"
"313","ACOT8",1.85573333193623,"Human (Adult)",NA,NA
"314","ACOT9",0.776552085888602,"Human (Adult)",NA,NA
"315","ACOX1",0.952643344944283,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"316","ACOX2",1.32062013023888,"Human (Adult)",NA,NA
"317","ACOX3",1.17449209456064,"Human (Adult)",1.7895677703817,"Human (Fetal)"
"318","ACP1",2.10899054580421,"Human (Adult)",2.09059776604568,"Human (Fetal)"
"319","ACP2",1.67964207288055,"Human (Adult)",1.91450650699,"Human (Fetal)"
"320","ACP6",0.776552085888602,"Human (Adult)",NA,NA
"321","ACSBG1",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"322","ACSF2",0.776552085888602,"Human (Adult)",NA,NA
"323","ACSF3",1.58946544253146,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"324","ACSL1",1.58946544253146,"Human (Adult)",1.88647778338975,"Human (Fetal)"
"325","ACSL3",2.08830594694436,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"326","ACSL4",1.07758208155258,"Human (Adult)",1.7895677703817,"Human (Fetal)"
"327","ACSL6",1.32062013023888,"Human (Adult)",NA,NA
